"filename", "language", "JavaScript", "JSON", "TypeScript", "YAML", "JSON with Comments", "HTML", "CSS", "TypeScript JSX", "Markdown", "SCSS", "MDX", "Ignore", "comment", "blank", "total"
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-mdx\rehypePlugins\shiki.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 38
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-mdx\remarkPlugins\toc.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 6, 87
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-routes\RouteService.test.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 47
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-routes\RouteService.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 9, 94
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-routes\fixtures\a.mdx", "MDX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-routes\fixtures\guide\b.mdx", "MDX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\plugin-routes\index.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 44
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\unocssOptions.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 67
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\node\vitePlugins.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\runtime\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 24, 2, 54
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\runtime\Content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 19, 2, 27
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\runtime\client-entry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 3, 23
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\runtime\hooks.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\runtime\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\runtime\ssr-entry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 2, 16
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\shared\types\attributify-shims.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\shared\types\index.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 104
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\shared\types\types.d.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\86199\Desktop\study\react\react_project\island-ssg\src\theme-default\Layout\HomeLayout\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
